type,title,director,cast,country,rating,listed_in
Movie,apex: the story of the hypercar,"['J.F.Musial', 'JoshVietze']",['ZacharyLevi'],['UnitedStates'],NR,['Documentaries']
Movie,apollo 18,['GonzaloLópez-Gallego'],"['WarrenChristie', 'LloydOwen', 'RyanRobbins', 'MichaelKopsa', 'AndrewAirlie']","['UnitedStates', 'Canada']",PG-13,"['HorrorMovies', 'Sci-Fi&Fantasy', 'Thrillers']"
Movie,apostle,['GarethEvans'],"['DanStevens', 'LucyBoynton', 'MichaelSheen', 'MarkLewisJones', 'BillMilner', 'KristineFroseth', 'PaulHiggins', 'RichardElfyn', 'ElenRhys', ""RossO'Hennessy""]","['UnitedKingdom', 'UnitedStates']",TV-MA,"['HorrorMovies', 'InternationalMovies', 'Thrillers']"
Movie,april and the extraordinary world,"['ChristianDesmares', 'FranckEkinci']","['AngelaGaluppo', 'PaulGiamatti', 'SusanSarandon', 'TonyHale', 'J.K.Simmons', 'TonyRobinow', 'MarkCamacho', 'TodFennell', 'CarlosAlazraqui', 'KariWahlgren']","['France', 'Canada', 'Belgium']",PG,"['Action&Adventure', 'Comedies', 'InternationalMovies']"
TV Show,aquarius,['nan'],"['DavidDuchovny', 'GethinAnthony', 'GreyDamon', 'EmmaDumont', 'ClaireHolt', 'MichaelaMcManus', ""BríanF.O'Byrne"", 'DavidMeunier', 'AmbyrChilders', 'TaraLynneBarr', 'WhitneyRosePynn', 'JasonRalph']",['UnitedStates'],TV-MA,"['CrimeTVShows', 'TVDramas']"
Movie,arès,['Jean-PatrickBenes'],"['OlaRapace', 'MichaLescot', 'ThierryHancisse', 'HélèneFillières', 'RuthVegaFernandez', 'Louis-DodeLencquesaing', 'EvaLallier', 'EmilieGavois-Kahn']",['France'],TV-MA,"['Action&Adventure', 'InternationalMovies', 'Sci-Fi&Fantasy']"
Movie,"aram, aram",['ChristopherChambers'],"['JohnRoohinian', 'LevonSharafyan', 'SevakHakoyan', 'DavidVillada', 'MikeGhader', 'RazmikMansuryan', 'LoritaMeg', 'AmySanders', 'AllaTumanian']",['UnitedStates'],TV-14,"['Dramas', 'IndependentMovies']"
Movie,arango y sanint: ríase el show,"['RaúlCampos', 'JanSuter']","['JuliánArango', 'AntonioSanint']",['Colombia'],TV-MA,['Stand-UpComedy']
TV Show,arashi's diary -voyage-,['nan'],['Arashi'],['Japan'],TV-PG,"['Docuseries', 'InternationalTVShows']"
TV Show,archibald's next big thing,['nan'],"['TonyHale', 'RosamundPike', 'JordanFisher', 'ChelseaKane', 'AdamPally', 'KariWahlgren']",['nan'],TV-Y7,"[""Kids'TV"", 'TVComedies']"
Movie,arctic dogs,['AaronWoodley'],"['JeremyRenner', 'HeidiKlum', 'JamesFranco', 'JohnCleese', 'OmarSy', 'MichaelMadsen', 'LaurieHolden', 'AnjelicaHuston', 'AlecBaldwin', 'DonnyFalsetti']","['India', 'UnitedKingdom', 'China', 'Canada', 'Japan', 'SouthKorea', 'UnitedStates']",PG,"['Children&FamilyMovies', 'Comedies']"
Movie,arctic heart,['MarieMadinier'],"['CharlotteLeBon', 'GuillaumeCanet', 'AnneLeNy', ""Patrickd'Assumçao"", 'DamienChapelle', 'XavierBeauvois', 'VincentLaunay-Franceschini']","['France', 'Belgium']",TV-14,"['Dramas', 'InternationalMovies', 'RomanticMovies']"
Movie,are we done yet?,['KhaledElHalafawy'],"['AhmedEid', 'AytenAmer', 'AhmedFouadSelim', 'MohsenMansour']",['Egypt'],TV-14,"['Comedies', 'Dramas', 'InternationalMovies']"
TV Show,are you the one,['nan'],['RyanDevlin'],['UnitedStates'],TV-14,['RealityTV']
TV Show,ares,['nan'],"['JadeOlieberg', 'TobiasKersloot', 'LisaSmit', 'FriedaBarnhard', 'HansKesting', 'RifkaLodeizen', 'RobinBoissevain', 'JenniferWelts', 'SteefdeBot', 'JipvandenDool', 'JanniGoslinga', 'DennisRudge', 'IanBok', 'RoosDickmann', 'MinneKoole', 'AlexanderBrouwer']",['Netherlands'],TV-MA,"['InternationalTVShows', 'TVDramas', 'TVHorror']"
TV Show,argon,['nan'],"['Woo-heeChun', 'Joo-hyukKim', 'Won-sangPark']",['SouthKorea'],TV-MA,"['InternationalTVShows', 'KoreanTVShows', 'TVDramas']"
Movie,ari eldjárn: pardon my icelandic,['AugustJakobsson'],['AriEldjárn'],['Iceland'],TV-MA,['Stand-UpComedy']
TV Show,ari shaffir: double negative,['EricAbrams'],['AriShaffir'],['UnitedStates'],TV-MA,['Stand-UpComedy&TalkShows']
Movie,"ariana grande: excuse me, i love you",['PaulDugdale'],['ArianaGrande'],['UnitedStates'],TV-MA,"['Documentaries', 'Music&Musicals']"
Movie,arisan 2,['NiaDinata'],"['SuryaSaputra', 'CutMiniTheo', 'ToraSudiro']",['Indonesia'],TV-14,"['Comedies', 'Dramas', 'InternationalMovies']"
Movie,arjun: the warrior prince,['ArnabChaudhuri'],"['YudhveerBakoliya', 'AshokBanthia', 'RaviKhanwilkar', 'VijayKashyap', 'IlaArun', 'SachinKhedekar', 'RajeshwariSachdev', 'HemanthMahaur']",['India'],TV-14,"['Action&Adventure', 'Dramas', 'InternationalMovies']"
Movie,arq,['TonyElliott'],"['RobbieAmell', 'RachaelTaylor', 'ShaunBenson', 'GrayPowell', 'JacobNeayem', 'AdamButcher', 'TantooCardinal']","['Canada', 'UnitedStates']",TV-MA,"['InternationalMovies', 'Sci-Fi&Fantasy', 'Thrillers']"
TV Show,arrested development,['nan'],"['JasonBateman', 'PortiadeRossi', 'WillArnett', 'MichaelCera', 'AliaShawkat', 'TonyHale', 'DavidCross', 'JeffreyTambor', 'JessicaWalter', 'RonHoward']",['UnitedStates'],TV-MA,['TVComedies']
TV Show,arrow,['JamesBamford'],"['StephenAmell', 'KatieCassidy', 'DavidRamsey', 'WillaHolland', 'PaulBlackthorne', 'EmilyBettRickards', 'JohnBarrowman', 'ColtonHaynes', 'SusannaThompson', 'AnnaHopkins', 'JulianaHarkavy', 'AdrianHolmes', 'KathleenGati', 'EchoKellum', 'RickGonzalez', 'DominicBogart', 'ManuBennett']",['UnitedStates'],TV-14,"['CrimeTVShows', 'TVAction&Adventure']"
Movie,arsenio hall: smart & classy,['BrianVolk-Weiss'],['ArsenioHall'],['UnitedStates'],TV-MA,['Stand-UpComedy']
TV Show,arthdal chronicles,['nan'],"['SongJoong-ki', 'JangDong-gun', 'KimJi-won', 'KimOk-vin', 'KimEui-sung', 'ChoSeong-ha', 'LeeDo-gyeong', 'ParkHae-joon', 'ParkByung-eun']",['SouthKorea'],TV-MA,"['InternationalTVShows', 'KoreanTVShows', 'TVAction&Adventure']"
Movie,arthur,['JasonWiner'],"['RussellBrand', 'HelenMirren', 'GretaGerwig', 'JenniferGarner', 'GeraldineJames', 'LuisGuzmán', 'NickNolte', 'ChristinaJacquelynCalph', 'MurphyGuyer', 'JoséRamónRosario']",['UnitedStates'],PG-13,"['Comedies', 'RomanticMovies']"
Movie,arthur christmas,['SarahSmith'],"['JamesMcAvoy', 'HughLaurie', 'BillNighy', 'JimBroadbent', 'ImeldaStaunton', 'AshleyJensen', 'RamonaMarquez', 'MarcWootton', 'LauraLinney', 'EvaLongoria', 'MichaelPalin', 'JoanCusack', 'DeborahFindlay', 'RichFulcher', 'SarahSmith', 'ClintDyer', 'KerryShale', 'StewartLee', 'BronaghGallagher', 'KevinCecil', 'AlistairMcGowan', 'DavidMenkin', 'KrisPearn', 'IanAshpitel', 'RichHall', 'SeetaIndrani', 'JaneHorrocks', 'PeterBaynham', 'EmmaKennedy', 'DominicWest', 'JerryLambert', 'JuliaDavis', 'RobbieColtrane', 'IainMcKee', 'SanjeevBhaskar', 'AndySerkis', 'TamsinGreig', 'RhysDarby', 'SeamusMalone', 'CodyCameron', 'DavidSchneider', 'KevinEldon', 'DannyJohn-Jules', 'BrianCummings']","['UnitedKingdom', 'UnitedStates']",PG,"['Children&FamilyMovies', 'Comedies']"
Movie,article 15,['AnubhavSinha'],"['AyushmannKhurrana', 'Nassar', 'ManojPahwa', 'KumudMishra', 'IshaTalwar', 'SayaniGupta', 'MohammedZeeshanAyyub', 'SubhrajyotiBarat', 'SushilPandey', 'AakashDabhade']",['India'],TV-MA,"['Dramas', 'InternationalMovies', 'Thrillers']"
Movie,aruna & her palate,['Edwin'],"['DianSastrowardoyo', 'OkaAntara', 'HannahAlRashid', 'NicholasSaputra', 'DeddyMahendraDesta', 'AyuAzhari']","['Indonesia', 'SouthKorea', 'Singapore']",TV-14,"['Dramas', 'InternationalMovies']"
Movie,"as above, so below",['JohnErickDowdle'],"['PerditaWeeks', 'BenFeldman', 'EdwinHodge', 'FrançoisCivil', 'MarionLambert', 'AliMarhyar', 'CosmeCastro', 'HamidDjavadan', 'ThéoCholbi', 'EmyLévy']",['UnitedStates'],R,"['HorrorMovies', 'Thrillers']"
Movie,as good as it gets,['JamesL.Brooks'],"['JackNicholson', 'HelenHunt', 'GregKinnear', 'CubaGoodingJr.', 'SkeetUlrich', 'ShirleyKnight', 'YeardleySmith', 'LupeOntiveros']",['UnitedStates'],PG-13,"['Comedies', 'RomanticMovies']"
Movie,ascharyachakit!,['SamitKakkad'],"['PriyankaBose', 'VaibhavRajGupta', 'SantoshJuvekar', 'AnangshaBiswas', 'AnkitRaaj', 'KashmiraIrani', 'KailashWaghmare', 'VipinSharma']",['India'],TV-MA,"['Dramas', 'IndependentMovies', 'InternationalMovies']"
Movie,asees,['RanaRanbir'],"['RanaRanbir', 'NehaPawar', 'KuljinderSidhu', 'RupinderRoopi', 'SardarSohi', 'PardeepSran', 'SeemaKaushal', 'RajvirBoparai']",['India'],TV-14,"['Dramas', 'InternationalMovies', 'Music&Musicals']"
TV Show,ash vs. evil dead,['nan'],"['BruceCampbell', 'LucyLawless', 'RaySantiago', 'DanaDeLorenzo', 'JillMarieJones']",['UnitedStates'],TV-MA,"['TVAction&Adventure', 'TVComedies', 'TVHorror']"
TV Show,ashes of love,['nan'],"['YangZi', 'DengLun', 'LuoYunxi']",['China'],TV-14,"['InternationalTVShows', 'RomanticTVShows', 'TVComedies']"
TV Show,ask the doctor,['nan'],"['ShalinNaik', 'ReneeLim', 'SandroDemaio']",['Australia'],TV-PG,"['Docuseries', 'InternationalTVShows', 'Science&NatureTV']"
TV Show,ask the storybots,['nan'],"['JudyGreer', 'ErinFitzgerald', 'FredTatasciore', 'JeffGill', 'GreggSpiridellis', 'EvanSpiridellis']",['UnitedStates'],TV-Y,"[""Kids'TV""]"
Movie,asoka,['SantoshSivan'],"['ShahRukhKhan', 'KareenaKapoor', 'DannyDenzongpa', 'RahulDev', 'HrishitaaBhatt', 'GersonDaCunha', 'SubhashiniAli', 'UmeshMehra', 'SoorajBalaji']",['India'],R,"['Action&Adventure', 'Dramas', 'InternationalMovies']"
Movie,asperger's are us,['AlexLehmann'],"['NoahBritton', 'EthanFinlan', 'JackHanke', 'NewMichaelIngemi']",['UnitedStates'],TV-MA,['Documentaries']
Movie,asphalt burning,['HallvardBræin'],"['AndersBaasmo', 'KathrineThorborgJohansen', 'IdaHusøy', 'OttoJespersen', 'SvenNordin', 'TrondHalbo', 'AlexandraMariaLara', 'WencheMyhre', 'KostjaUllmann', 'BjörnKjellman']",['Norway'],TV-14,"['Action&Adventure', 'Comedies', 'InternationalMovies']"
Movie,assimilate,['JohnMurlowski'],"['JoelCourtney', 'CalumWorthy', 'AndiMatichak', 'KatherineMcNamara', 'CamGigandet', 'MasonMcNulty', 'TerryDaleParks', 'VitoViscuso', 'JenniferPierceMathus', 'KevinRemington']",['UnitedStates'],TV-MA,"['HorrorMovies', 'Sci-Fi&Fantasy', 'Thrillers']"
TV Show,astronomy club: the sketch show,['nan'],"['ShawtaneBowen', 'JonathanBraylock', 'RayCordova', 'CarolineMartin', 'JerahMilligan', 'MoniqueMoses', 'KeishaZollar', 'JamesIII']",['UnitedStates'],TV-MA,['TVComedies']
Movie,asu mare 2,['RicardoMaldonado'],"['CarlosAlcántara', 'EmiliaDrago', 'ChristianMeier', 'AndrésSalas', 'AnahídeCárdenas', 'RodrigoSánchezPatiño', 'DenisseDibós', 'JavierDelgiudice', 'AnaCeciliaNatteri']",['Peru'],TV-14,"['Comedies', 'InternationalMovies']"
Movie,asura guru,['A.Raajdheep'],"['VikramPrabhu', 'Subbaraju', 'MahimaNambiar', 'YogiBabu', 'Jagan']",['India'],TV-14,"['Dramas', 'InternationalMovies']"
Movie,asura: the city of madness,['Sung-sooKim'],"['Jung-minHwang', 'Do-wonKwak', 'Man-sikJung', 'Woo-sungJung']",['SouthKorea'],NR,"['Action&Adventure', 'Dramas', 'InternationalMovies']"
Movie,at all costs,['MikeNicoll'],"['ParkerJacksonCartwright', 'GabeYork']",['UnitedStates'],TV-MA,"['Documentaries', 'SportsMovies']"
Movie,at first light,['JasonStone'],"['StefanieScott', 'TheodorePellerin', 'PercyHynesWhite', 'KateBurton', 'SaïdTaghmaoui', 'KristinBooth', 'JamesWotherspoon']",['Canada'],TV-14,"['Dramas', 'Sci-Fi&Fantasy']"
TV Show,at the dolphin bay,['nan'],"['AngelaChang', 'AmbroseHui', 'WallaceHuo', 'JillHsu', 'LinWeiJun', 'JosieLeung', 'MountainKao', 'LiangHsiu-shen']",['Taiwan'],TV-14,"['InternationalTVShows', 'RomanticTVShows']"
TV Show,atelier,['nan'],"['MireiKiritani', 'MaoDaichi', 'WakanaSakai', 'MasakoChiba', 'Maiko', 'KenKaito', 'DoriSakurada', 'NicoleIshida', 'MayukoKawakita']",['Japan'],TV-PG,"['InternationalTVShows', 'TVDramas']"
Movie,athlete a,"['BonniCohen', 'JonShenk']",['nan'],['UnitedStates'],PG-13,"['Documentaries', 'SportsMovies']"
Movie,atlantics,['MatiDiop'],"['MamaSane', 'AmadouMbow', 'IbrahimaTraore', 'NicoleSougou', 'AminaKane', 'MariamaGassama', 'CoumbaDieng', 'IbrahimaMbaye', 'DiankouSembene']","['France', 'Senegal', 'Belgium']",TV-14,"['Dramas', 'IndependentMovies', 'InternationalMovies']"
Movie,atlas shrugged: part ii,['JohnPutch'],"['SamanthaMathis', 'JasonBeghe', 'EsaiMorales', 'PatrickFabian', 'KimRhodes', 'RichardT.Jones', 'D.B.Sweeney', 'PaulMcCrane', 'JohnRubinstein', 'RobertPicardo']",['UnitedStates'],PG-13,['Dramas']
Movie,atm,['MezTharatorn'],"['ChantavitDhanasevi', 'PreechayaPongthananikorn', 'ChaleumpolTikumpornteerawong', 'ThawatPornrattanaprasert', 'SananthachatThanapatpisal', 'PongkoolSuebsung', 'PuttachatPongsuchat', 'GornpopJanjaroen', 'YaneeTramoth', 'PongsatornJongwilak']","['UnitedStates', 'Canada']",TV-14,"['Comedies', 'InternationalMovies', 'RomanticMovies']"
TV Show,atomic puppet,['nan'],"['EricBauza', 'LisaNorton', 'CarlosDíaz', 'PeterOldring', 'HeatherBambrick', 'RickMiller', 'RobTinkler', 'KristinaNicoll']","['Canada', 'France']",TV-Y7,"['CrimeTVShows', ""Kids'TV"", 'TVComedies']"
TV Show,attack on titan,['nan'],"['YukiKaji', 'YuiIshikawa', 'MarinaInoue', 'KishoTaniyama', 'YuShimamura', 'YuKobayashi', 'ShioriMikami', 'HiroShimono', 'RyotaOsaka', 'YoshimasaHosoya', 'TomohisaHashizume', 'SakiFujita', 'HiroshiKamiya', 'DaisukeOno', 'RomiPark', 'KeijiFujiwara', 'KazuhiroYamaji', 'YusakuYara']",['Japan'],TV-MA,"['AnimeSeries', 'InternationalTVShows']"
Movie,attacking the devil: harold evans and the last nazi war crime,"['DavidMorris', 'JacquiMorris']",['HaroldEvans'],['UnitedKingdom'],TV-14,"['Documentaries', 'InternationalMovies']"
Movie,attitude test,"['FabrizioCopano', 'AugustoMatte']","['BelénSoto', 'DeniseRosenthal', 'ConstanzaPiccoli', 'FabiolaAlarcón', 'LucasBalmaceda', 'AgustínSilva', 'CamiloCarmona', 'IngridCruz', 'ElvisFuentes', 'SamuelLandea']",['Chile'],TV-14,"['Comedies', 'IndependentMovies', 'InternationalMovies']"
TV Show,atypical,['nan'],"['JenniferJasonLeigh', 'KeirGilchrist', 'MichaelRapaport', 'BrigetteLundy-Paine', 'AmyOkuda', 'JennaBoyd', 'GrahamRogers', 'NikDodani']",['UnitedStates'],TV-14,"['TVComedies', 'TVDramas', 'TeenTVShows']"
Movie,audrie & daisy,"['BonniCohen', 'JonShenk']",['nan'],['UnitedStates'],TV-MA,['Documentaries']
TV Show,aunty donna's big ol' house of fun,['nan'],"['MarkSamualBonanno', 'BrodenKelly', 'ZacharyRuane', 'EdHelms', 'KristenSchaal', 'WeirdAlYankovic', 'KiaStevens', 'PaulF.Tompkins', 'TawnyNewsome']",['Australia'],TV-MA,['TVComedies']
Movie,aurora,['CristiPuiu'],"['CristiPuiu', 'ClaraVoda', 'CatrinelDumitrescu', 'LuminitaGheorghiu', 'ValentinPopescu', 'GheorgheIfrim', 'IleanaPuiu', 'ValeriaSeciu', 'GeluColceag']","['Romania', 'France', 'Switzerland', 'Germany']",TV-MA,"['Dramas', 'InternationalMovies']"
Movie,auschwitz: blueprints of genocide,['MikeRossiter'],['RoyMarsden'],['UnitedKingdom'],TV-PG,['Documentaries']
TV Show,aussie gold hunters,['nan'],['nan'],['Australia'],TV-MA,"['Docuseries', 'InternationalTVShows', 'RealityTV']"
Movie,austin powers in goldmember,['JayRoach'],"['MikeMyers', 'BeyoncéKnowles-Carter', 'SethGreen', 'MichaelYork', 'RobertWagner', 'MindySterling', 'VerneTroyer', 'MichaelCaine', 'FredSavage']",['UnitedStates'],PG-13,"['Action&Adventure', 'Comedies']"
Movie,austin powers: international man of mystery,['JayRoach'],"['MikeMyers', 'ElizabethHurley', 'MichaelYork', 'MimiRogers', 'RobertWagner', 'SethGreen', 'FabianaUdenio', 'MindySterling', 'PaulDillon', 'CharlesNapier', 'WillFerrell']",['UnitedStates'],PG-13,['Comedies']
Movie,austin powers: the spy who shagged me,['JayRoach'],"['MikeMyers', 'HeatherGraham', 'MichaelYork', 'RobertWagner', 'RobLowe', 'SethGreen', 'MindySterling', 'VerneTroyer', 'ElizabethHurley', 'WillFerrell']",['UnitedStates'],PG-13,"['Action&Adventure', 'Comedies', 'Sci-Fi&Fantasy']"
Movie,autohead,['RohitMittal'],"['DeepakSampat', 'RonjiniChakroborty', 'VikrantSingh', 'JhanviDwivedi', 'AjayMishra', 'RohitMittal', 'SunnyBanerjee', 'RavidevSingh']",['India'],TV-MA,"['Dramas', 'InternationalMovies', 'Thrillers']"
Movie,automata,['GabeIbáñez'],"['AntonioBanderas', 'DylanMcDermott', 'MelanieGriffith', 'BirgitteHjortSørensen', 'RobertForster', 'ChristaCampbell', 'TimMcInnerny', 'AndyNyman', 'DavidRyall']","['Bulgaria', 'UnitedStates', 'Spain', 'Canada']",R,"['InternationalMovies', 'Sci-Fi&Fantasy', 'Thrillers']"
TV Show,autumn's concerto,['nan'],"['AdyAn', 'VannessWu', 'AnnHsu', 'ChrisWu', 'XiaoXiaoBin']",['Taiwan'],TV-14,"['InternationalTVShows', 'RomanticTVShows', 'TVDramas']"
Movie,ava,['TateTaylor'],"['JessicaChastain', 'ColinFarrell', 'JohnMalkovich', 'Common', 'GeenaDavis', 'JessWeixler', 'DianaSilvers', 'JoanChen', 'IoanGruffudd']",['UnitedStates'],R,"['Action&Adventure', 'Dramas']"
TV Show,avatar: the last airbender,['nan'],"['ZachTyler', 'MaeWhitman', 'JackDeSena', 'DeeBradleyBaker', 'DanteBasco', 'JessieFlower', 'MakoIwamatsu']",['UnitedStates'],TV-Y7,"['Classic&CultTV', ""Kids'TV"", 'TVAction&Adventure']"
Movie,ave maryam,['ErtantoRobbySoediskam'],"['MaudyKoesnaedi', 'ChiccoJerikho', 'TutieKirana', 'OlgaLydia', 'JokoAnwar', 'NathaniaAngelaWidjaja', 'SendyFebrina', 'Suhartini', 'AtieKrisnawati', 'RatnawatiSutandar', 'NinikWinarniUtomo']",['Indonesia'],TV-PG,"['Dramas', 'InternationalMovies', 'RomanticMovies']"
Movie,avengement,['JesseV.Johnson'],"['ScottAdkins', 'CraigFairbrass', 'ThomasTurgoose', 'NickMoran', 'KierstonWareing', 'MarkStrange', 'LeoGregory', 'LukeLaFontaine', 'BeauFowler', 'DanStyles']",['UnitedKingdom'],TV-MA,['Action&Adventure']
Movie,avengers: infinity war,"['AnthonyRusso', 'JoeRusso']","['RobertDowneyJr.', 'JoshBrolin', 'MarkRuffalo', 'TomHiddleston', 'ChrisEvans', 'ChrisHemsworth', 'JeremyRenner', 'ChrisPratt', 'ElizabethOlsen', 'SebastianStan', 'BenedictCumberbatch', 'PaulBettany', 'CobieSmulders', 'BenedictWong', 'ZoeSaldana', 'KarenGillan', 'VinDiesel', 'DaveBautista', 'BradleyCooper', 'PomKlementieff', 'ScarlettJohansson', 'BenicioDelToro', 'AnthonyMackie', 'ChadwickBoseman', 'DanaiGurira', 'PaulRudd', 'DonCheadle', 'TomHolland']",['UnitedStates'],PG-13,"['Action&Adventure', 'Sci-Fi&Fantasy']"
Movie,avicii: true stories,['LevanTsikurishvili'],['Avicii'],"['Sweden', 'Netherlands']",TV-MA,"['Documentaries', 'InternationalMovies', 'Music&Musicals']"
Movie,await further instructions,['JohnnyKevorkian'],"['SamGittins', 'GrantMasters', 'NeerjaNaik', 'AbigailCruttenden', 'KrisSaddler', 'HollyWeston', 'DavidBradley']",['UnitedKingdom'],TV-MA,"['HorrorMovies', 'Sci-Fi&Fantasy']"
Movie,awake,"['AleksandrChernyaev', 'FedorLyass']","['JonathanRhysMeyers', 'FrancescaEastwood', 'MalikYoba', 'WilliamForsythe', 'JamesAustinKerr', 'JeremyParr']",['UnitedStates'],TV-MA,['Thrillers']
TV Show,awake: the million dollar game,['nan'],['JamesDavis'],['UnitedStates'],TV-PG,['RealityTV']
TV Show,away,['nan'],"['HilarySwank', 'JoshCharles', 'VivianWu', 'MarkIvanir', 'AtoEssandoh', 'RayPanthaki', 'TalithaElianaBateman']",['UnitedStates'],TV-14,"['RomanticTVShows', 'TVDramas', 'TVSci-Fi&Fantasy']"
TV Show,away from home,['nan'],"['LiYongzhen', 'ZhuangKebi', 'ZhangShunyuan', 'WangWei', 'WenShaoping', 'LiuShumin', 'LuHuiting', 'YeChengcheng', 'ChenYuqi']",['nan'],TV-PG,"['InternationalTVShows', 'TVDramas']"
Movie,awe,['PrasanthVarma'],"['KajalAggarwal', 'NithyaMenon', 'ReginaCassandra', 'EeshaRebba', 'MurliSharma', 'SrinivasAvasarala', 'PriyadarshiPullikonda']",['India'],TV-MA,"['Dramas', 'InternationalMovies', 'Sci-Fi&Fantasy']"
Movie,axone,['NicholasKharkongor'],"['SayaniGupta', 'LinLaishram', 'TenzingDalha', 'DollyAhluwalia', 'VinayPathak', 'LanuakamAo', 'RohanJoshi', 'AdilHussain', 'AsenlaJamir']",['India'],TV-MA,"['Comedies', 'Dramas', 'IndependentMovies']"
Movie,ayana,['GangadharSalimath'],"['DeepakSubramanya', 'ApoorvaSoma', 'RameshBhat', 'HarshaHS', 'KarthikA', 'GouthamShashidhar', 'NagshreeKarkone', 'MokshaKushal', 'VedashreeRao']",['India'],TV-MA,"['Dramas', 'InternationalMovies']"
Movie,"ayotzinapa, el paso de la tortuga",['EnriqueGarcíaMeza'],['nan'],['Mexico'],TV-MA,"['Documentaries', 'InternationalMovies']"
Movie,azali,['KwabenaGyansah'],"['AmaK.Abebrese', 'AsanaAlhassan', 'AdjeteyAnang', 'AkofaEdjeaniAsiedu', 'EmmanuelNiiAdomQuaye', 'PeterRitchie']",['Ghana'],TV-14,"['Dramas', 'InternationalMovies']"
Movie,azhar,"[""AnthonyD'Souza""]","['EmraanHashmi', 'PrachiDesai', 'NargisFakhri', 'LaraDutta', 'KunaalRoyKapur', 'GautamGulati', 'AnikieMaguire', 'KulbhushanKharbanda', 'RajeshSharma', 'ShernazPatel', 'VeerendraSaxena']",['India'],TV-14,"['Dramas', 'InternationalMovies', 'SportsMovies']"
Movie,aziz ansari live at madison square garden,['AzizAnsari'],['AzizAnsari'],['UnitedStates'],TV-MA,['Stand-UpComedy']
Movie,aziz ansari: buried alive,"['WillLovelace', 'DylanSouthern']",['AzizAnsari'],['UnitedStates'],TV-MA,['Stand-UpComedy']
Movie,aziz ansari: right now,['SpikeJonze'],['AzizAnsari'],['UnitedStates'],TV-MA,['Stand-UpComedy']
TV Show,b: the beginning,['nan'],"['HiroakiHirata', 'YukiKaji', 'AsamiSeto', 'HirokiTouchi', 'MinoruInaba', 'AmiKoshimizu', 'ToshiyukiToyonaga', 'ShintaroTanaka', 'AtsushiGoto', 'ToshiyukiMorikawa', 'KaitoIshikawa', 'SatomiSato', 'YuKitada', 'MitsukiSaiga', 'KazuyaNakai', 'NozomiKameda', 'MakotoAwane']",['Japan'],TV-MA,"['AnimeSeries', 'CrimeTVShows', 'InternationalTVShows']"
Movie,b.a. pass,['AjayBahl'],"['ShadabKamal', 'ShilpaShukla', 'RajeshSharma', 'DibyenduBhattacharya', 'VijayKaushik', 'AnulaNavlekar', 'HappyRanjit', 'RaveenaSingh', 'PadamMishra']",['India'],TV-14,"['Dramas', 'IndependentMovies', 'InternationalMovies']"
Movie,b.a. pass 2,['ShadabKhan'],"['KritikaSachdeva', 'Sasho', 'SanghmitraHitaishi', 'IndraneilSengupta', 'SaurabhDubey', 'ShubhangiLatkar', 'SukhbirKaurLamba', 'AravChowdharry']",['India'],TV-14,"['Dramas', 'InternationalMovies']"
Movie,baadshaho,['MilanLuthria'],"['AjayDevgn', 'EmraanHashmi', 'VidyutJamwal', ""IleanaD'Cruz"", 'EshaGupta', 'SanjayMishra', 'SunnyLeone', 'SharadKelkar', 'PriyanshuChatterjee', 'DenzilSmith']",['India'],TV-14,"['Action&Adventure', 'InternationalMovies']"
Movie,baaghi,['SabirKhan'],"['TigerShroff', 'ShraddhaKapoor', 'SudheerBabu', 'ParasArora', 'SunilGrover', 'SouravChakraborty', 'ShauryaBhardawaj']",['India'],TV-14,"['Action&Adventure', 'InternationalMovies']"
Movie,baahubali 2: the conclusion (hindi version),['S.S.Rajamouli'],"['Prabhas', 'RanaDaggubati', 'AnushkaShetty', 'TamannaahBhatia', 'Sathyaraj', 'RamyaKrishnan', 'Nassar', 'Subbaraju']",['India'],TV-MA,"['Action&Adventure', 'Dramas', 'InternationalMovies']"
Movie,baahubali 2: the conclusion (malayalam version),['S.S.Rajamouli'],"['Prabhas', 'RanaDaggubati', 'AnushkaShetty', 'TamannaahBhatia', 'Sathyaraj', 'RamyaKrishnan', 'Nassar', 'Subbaraju']",['nan'],TV-14,"['Action&Adventure', 'Dramas', 'InternationalMovies']"
Movie,baahubali 2: the conclusion (tamil version),['S.S.Rajamouli'],"['Prabhas', 'RanaDaggubati', 'AnushkaShetty', 'TamannaahBhatia', 'Sathyaraj', 'RamyaKrishnan', 'Nassar', 'Subbaraju']",['nan'],TV-MA,"['Action&Adventure', 'Dramas', 'InternationalMovies']"
Movie,baahubali: the beginning (english version),['S.S.Rajamouli'],"['Prabhas', 'RanaDaggubati', 'AnushkaShetty', 'TamannaahBhatia', 'Sathyaraj', 'Nassar', 'RamyaKrishnan', 'Sudeep']",['nan'],TV-14,"['Action&Adventure', 'Dramas', 'InternationalMovies']"
Movie,baahubali: the beginning (hindi version),['S.S.Rajamouli'],"['Prabhas', 'RanaDaggubati', 'AnushkaShetty', 'TamannaahBhatia', 'Sathyaraj', 'Nassar', 'RamyaKrishnan', 'Sudeep']",['India'],TV-14,"['Action&Adventure', 'Dramas', 'InternationalMovies']"
